     phi,     P_0,     T_0,     e_0,    beta,  lambda,     T_m
      90,     1.4,   -13.8,   -2.44, -0.0001,    -0.7,    -9.6
      75,     1.2,   -12.0,   -2.78,  0.0001,    -0.3,   -10.1
      60,     1.8,   -13.8,   -4.47,  0.0005,    -0.2,   -10.9
      35,     2.1,    -7.8,   -6.35,  0.0005,     0.1,    -7.5
       5,    -0.5,     0.1,   -1.00, -0.0001,     0.2,     0.8
     -10,    -1.6,     0.6,    1.83, -0.0001,    -0.3,    -0.8
     -35,    -1.5,     3.1,    2.97, -0.0003,    -0.1,     3.2
     -65,     0.1,     5.9,    1.40,  0.0007,     0.1,     3.9
     -90,    -8.5,     9.3,    0.91,  0.0008,     0.3,     8.7
